"70% Dark Chocolate Wafers, Fair Trade",40 lb case,414.5,318.8
"70% Dark Chocolate Wafers, Fair Trade",5 lb bag,55.5,42.55
Agave Nectar,1/2 gal Glass Jug,25.25,19.32
Agave Nectar,Case of 6 x 1/2 gal Glass Jugs,136.0,104.46
Agave Nectar,30 lb / 2.5 gal Easy Pour Jug,110.5,84.9
Agave Nectar,50 lb / 5 gal Cube,168.75,129.8
Agave Nectar,628 lb Barrel,1624.75,1249.72
Alfalfa Sprouting Seed,55 lb bag,478.5,367.95
Alfalfa Sprouting Seed,5 lb bag,50.0,38.45
"Almond Butter Stock, Diced, Lightly Roasted",20 lb case,230.25,177.0
"Almond Butter, Creamy, Light Roast",Case of 12 x 1 lb Jars,229.5,176.52
"Almond Butter, Creamy, Light Roast",1 lb Jar,21.0,16.04
"Almond Butter, Creamy, Light Roast",18 lb / 2 gal Pail,322.0,247.68
"Almond Butter, Raw, Artisana",17 lb / 2 gal Pail,291.25,223.89
"Almonds, Biodynamic®",25 lb case,306.25,235.5
"Almonds, Roasted",25 lb case,349.5,268.75
"Almonds, Roasted",5 lb bag,77.75,59.75
"Almonds, Whole, Raw",25 lb case,299.25,230.0
"Almonds, Whole, Raw",5 lb bag,65.75,50.5
"Almonds,Tamari, Roasted",25 lb case,350.75,269.75
"Almonds,Tamari, Roasted",5 lb bag,76.5,58.8
Amaranth,25 lb bag,64.5,49.5
"Apples, Rings",4 lb case,59.75,45.8
"Apricots, California",5 lb bag,71.5,54.9
"Apricots, Turkish",28 lb case,169.5,130.2
"Apricots, Turkish",5 lb bag,34.5,26.45
"Avocado Oil, Refined",1/2 gal Glass Jug,41.75,32.0
"Avocado Oil, Refined",Case of 6 x 1/2 gal Glass Jugs,237.25,182.47
"Avocado Oil, Refined",20 lb / 2.5 gal Easy Pour Jug,196.0,150.69
"Awakened® Almonds, Salted",20 lb bucket,358.25,275.4
"Awakened® Almonds, Salted",5 lb bag,97.0,74.5
"Awakened® Almonds, Salted",case of 6 x 6 oz bags,55.25,42.42
"Awakened® Almonds, Salted",case of 6 x 6 oz bags,55.25,42.42
"Awakened® Almonds, Unsalted",20 lb bucket,358.25,275.4
"Awakened® Almonds, Unsalted",5 lb bag,97.0,74.5
"Awakened® Almonds, Unsalted",case of 6 x 6 oz bags,55.25,42.42
"Awakened® Almonds, Unsalted",case of 6 x 6 oz bags,55.25,42.42
Awakened® Nut Trio,case of 6 x 6 oz bags,51.5,39.48
Awakened® Nut Trio,5 LB Bag,88.25,67.85
Awakened® Nut Trio,5 LB Bag,88.25,67.85
Awakened® Nut Trio,case of 6 x 6 oz bags,51.5,39.48
"Awakened® Pecans, Salted",15 lb bucket,292.25,224.7
"Awakened® Pecans, Salted",5 lb bag,97.75,75.0
"Awakened® Pecans, Salted",6 x 6 oz bags,56.75,43.5
"Awakened® Pecans, Salted",case of 6 x 6 oz bags,56.75,43.5
"Awakened® Pumpkin Seeds, Salted",20 lb bucket,259.5,199.6
"Awakened® Pumpkin Seeds, Salted",5 lb bag,67.0,51.45
"Awakened® Pumpkin Seeds, Salted",case of 6 x 6 oz bags,35.75,27.48
"Awakened® Pumpkin Seeds, Salted",case of 6 x 6 oz bags,35.75,27.48
"Awakened® Pumpkin, Nut and Berry Mix",case of 6 x 6 oz bags,50.25,38.64
"Awakened® Pumpkin, Nut and Berry Mix",5 LB Bag,86.0,66.1
"Awakened® Pumpkin, Nut and Berry Mix",5 LB Bag,86.0,66.1
"Awakened® Pumpkin, Nut and Berry Mix",case of 6 x 6 oz bags,50.25,38.64
"Awakened® Walnuts, Salted",15 lb bucket,187.0,143.7
"Awakened® Walnuts, Salted",5 lb bag,67.25,51.65
"Awakened® Walnuts, Salted",6 x 6 oz bags,46.5,35.7
"Awakened® Walnuts, Salted",case of 6 x 6 oz bags,46.5,35.7
"Balsamic Vinegar, Aged 6 Years, 6% Acidity",1/2 gal Glass Jug,21.0,16.1
"Balsamic Vinegar, Aged 6 Years, 6% Acidity",Case 6 x 1/2 gal Glass Jugs,113.25,86.98
"Balsamic Vinegar, Aged 6 Years, 6% Acidity",2.5 gal Easy Pour Jug,86.0,66.0
"Bananas, Whole",6 lb bag,40.75,31.2
"Barley Flakes, Streaker",25 lb bag,41.0,31.5
"Barley Flour, Streaker",25 lb bag,39.25,30.0
"Barley, Karma, Purple, Hulless",25 lb bag,74.25,57.0
"Bean, Adzuki",25 lb bag,69.25,53.25
"Bean, Black (Elmira, OR)",25 lb bag,62.0,47.5
"Bean, Black (USA)",25 lb bag,48.5,37.25
"Bean, Black-Eyed Pea",25 lb bag,80.5,61.75
"Bean, Cranberry",25 lb bag,62.25,47.75
"Bean, Flageolet",25 lb bag,100.25,77.0
"Bean, Garbanzo",25 lb bag,47.5,36.5
"Bean, Great Northern",25 lb bag,55.75,42.75
"Bean, Kidney, Dark",25 lb bag,55.5,42.5
"Bean, Mung",25 lb bag,68.0,52.25
"Bean, Mung Dal",25 lb bag,83.0,63.75
"Bean, Navy",25 lb bag,59.25,45.5
"Bean, Pink",25 lb bag,53.0,40.75
"Bean, Pinto",25 lb bag,51.75,39.75
"Bean, Small Red",25 lb bag,58.0,44.5
"Bee Pollen, Oregon",5 lb bag,119.0,91.45
"Bee Pollen, Regional",5 lb bag,135.75,104.35
"Black Olives, Pitted, OG Practices",case of 6 x 51 oz can,151.5,116.46
"Black Olives, Pitted, OG Practices",51 oz. can,28.0,21.36
"Blue Cornmeal, Whole Grain, Camas Country Mill",25 LB BAG,55.5,42.5
"Blueberries, Dried, no sugar or oil",20 lb case,579.75,445.8
"Blueberries, Dried, no sugar or oil",5 lb bag,151.5,116.45
"Brazil Nuts, Shelled, Raw",44 lb case,576.25,443.08
"Brazil Nuts, Shelled, Raw",5 lb bag,75.0,57.55
Broccoli Sprouting Seed,55 lb bag,1044.0,803.0
Broccoli Sprouting Seed,5 lb bag,101.5,78.0
"Buckwheat Flour, Whole, Camas Country Mill",25 lb bag,64.75,49.75
Buckwheat Groats,25 lb bag,99.0,76.0
Cacao Nibs,33 lb case,266.5,204.93
Cacao Nibs,5 lb bag,48.5,37.15
Cacao Powder,55 lb bag,278.25,213.95
Cacao Powder,5 lb bag,38.25,29.35
"California Olive Oil, Extra Virgin, Arbequina, Raw",1/2 gal Glass Jug,43.75,33.58
"California Olive Oil, Extra Virgin, Arbequina, Raw",Case of 6 x 1/2 gal Glass Jugs,249.0,191.46
"California Olive Oil, Extra Virgin, Arbequina, Raw",20 lb / 2.5 gal Easy Pour Jug,208.75,160.4
"California Olive Oil, Extra Virgin, Arbequina, Raw",35 lb / 5 gal Cube,363.25,279.3
"California Olive Oil, Extra Virgin, Arbequina, Raw",418 lb Barrel,3722.5,2863.3
"Canola Oil, Expeller Pressed, Refined",1/2 gal Glass Jug,28.0,21.41
"Canola Oil, Expeller Pressed, Refined",Case of 6 x 1/2 gal Glass Jugs,156.25,120.0
